Sentence_ID,Sentence,Ground_Truth_Entities,Predicted_Entities,True_Positives,False_Positives,False_Negatives,Precision,Recall,F1_Score,Perfect_Match
1,"Satellieten , zoals de Astra gebruiken elke frequentie twee maal , zowel horizontaal als verticaal gepolariseerd .",SES_Astra,Astra,0,1,1,0.0,0.0,0.0,No
2,"Van het zogenaamde Atlantisch Woud , een belangrijk centrum van biodiversiteit , dat zich ooit uitstrekte van het noorden van dit gebied tot in Rio Grande do Sul , blijft bijna niets meer over .",Rio_Grande_do_Sul; Atlantisch_Woud,Atlantisch Woud; Rio Grande do Sul,2,0,0,1.0,1.0,1.0,Yes
3,"Deze uittocht vindt onder andere plaats via Amsterdam , Antwerpen en vooral Rotterdam .",Rotterdam; Antwerpen_(stad); Amsterdam,Amsterdam; Antwerpen; Rotterdam,2,1,1,0.667,0.667,0.667,No
4,Deze twee nieuwe protectionistische wetten waren oorzaak van de Tweede Engels-Nederlandse Oorlog .,Tweede_Engels-Nederlandse_Oorlog,Tweede Engels-Nederlandse Oorlog,1,0,0,1.0,1.0,1.0,Yes
5,Hij werd in 1919 zo genoemd door Oldfield Thomas omdat de Eerste Wereldoorlog net was afgelopen .,Oldfield_Thomas; Eerste_Wereldoorlog,Oldfield Thomas; Eerste Wereldoorlog,2,0,0,1.0,1.0,1.0,Yes
6,Binnen het oude keizerrijk was Bohemen het industriële centrum geweest en van deze concentratie van technische bedrijven profiteerde het nieuwe land sterk .,Bohemen,Bohemen; Keizerrijk,1,1,0,0.5,1.0,0.667,No
7,Ze was tot zijn overlijden getrouwd met de wiskundige Ron Graham .,Ron_Graham,Ron Graham,1,0,0,1.0,1.0,1.0,Yes
8,Het paar was goed bevriend met Paul Erdős .,Paul_Erdős,Paul Erdős,1,0,0,1.0,1.0,1.0,Yes
9,De ideeën omtrent deze organisatie komen van Patch Adams .,Patch_Adams,Patch Adams; organisatie,1,1,0,0.5,1.0,0.667,No
10,Het enige echte gebruik was tegen stakers in eigen land ; bijvoorbeeld in maart 1921 in Glasgow .,Glasgow,Glasgow,1,0,0,1.0,1.0,1.0,Yes
11,In 1768 en 1769 streed hij onder Pasquale Paoli tegen Frankrijk voor de onafhankelijkheid van Corsica .,Pasquale_Paoli; Frankrijk,Pasquale Paoli; Corsica,1,1,1,0.5,0.5,0.5,No
12,"Deze restauratie werd geleid door C.H. Peters , die geadviseerd werd door P.J.H. Cuypers .",Cornelis_Peters; Pierre_Cuypers,C.H. Peters; P.J.H. Cuypers,0,2,2,0.0,0.0,0.0,No
13,door Agrippa Menenius Lanatus ingesteld om de toen rechteloze plebs tegen de patriciërs te beschermen .,Agrippa_Menenius_Lanatus_(consul_in_503_v.Chr.),Agrippa Menenius Lanatus,0,1,1,0.0,0.0,0.0,No
14,"Oorspronkelijk benoemde de bevelhebber zelf zijn krijgstribunen , maar geleidelijk werd een steeds groter aantal van hen door het volk gekozen , tot ze , nog vóór de Tweede Punische Oorlog , alle 24 verkozen werden .",Tweede_Punische_Oorlog,,0,0,1,0.0,0.0,0.0,No
15,"Omdat het gebied zo moeilijk toegankelijk is , duurde het tot 1887 voordat de eerste westerling ( de ontdekkingsreiziger Francis Younghusband ) het gebied betrad .",Francis_Younghusband,Francis Younghusband,1,0,0,1.0,1.0,1.0,Yes
16,"Daarvoor had hij een hoofdrol in de televisieserie "" North and South "" , over de Amerikaanse Burgeroorlog .",Amerikaanse_Burgeroorlog; North_and_South_(Amerikaanse_miniserie),North and South; Amerikaanse Burgeroorlog,1,1,1,0.5,0.5,0.5,No
17,"sloten al deze staatjes zich door synoikismos ( synoecisme ) aaneen tot één enkele polis of stadstaat , met Athene als centrum .",Athene_(stad),Athene,0,1,1,0.0,0.0,0.0,No
18,De gelovigen moesten toen tijdelijk kerken in Oostkerke .,Oostkerke_(Diksmuide),Oostkerke,0,1,1,0.0,0.0,0.0,No
19,( AUC 703 ) en staat vooral bekend om zijn zeer felle tegenstand tegen Gaius Julius Caesar .,Julius_Caesar,Gaius Julius Caesar,0,1,1,0.0,0.0,0.0,No
20,Ten zuiden van het gebied ligt de Siachengletsjer .,Siachengletsjer,Siachengletsjer,1,0,0,1.0,1.0,1.0,Yes
21,"wordt hij "" praetor "" en in datzelfde jaar geeft hij een redevoering voor Marcus Aemilius Scaurus .",Marcus_Aemilius_Scaurus_minor,Marcus Aemilius Scaurus,0,1,1,0.0,0.0,0.0,No
22,"Deze was langs vaderskant een afstammeling van Marcus Claudius Marcellus , een beroemd generaal tijdens de Tweede Punische Oorlog .",Tweede_Punische_Oorlog; Marcus_Claudius_Marcellus_I,Marcus Claudius Marcellus; Tweede Punische Oorlog,1,1,1,0.5,0.5,0.5,No
23,"Hij was een van de naaste mannelijke verwanten van zijn oom Octavianus , die zelf geen zonen had .",Imperator_Caesar_Augustus,Octavianus,0,1,1,0.0,0.0,0.0,No
24,"Al op driejarige leeftijd , toen zijn oom vrede moest sluiten met Sextus Pompius , werd hij verloofd met diens dochter .",Sextus_Pompeius_Magnus_Pius,Sextus Pompius,0,1,1,0.0,0.0,0.0,No
25,Hij is houder van het record van het hoogste aantal doelpunten in één seizoen in de Major League Soccer ooit .,Major_League_Soccer,,0,0,1,0.0,0.0,0.0,No
26,Deze functie wordt opgelegd door de Internationale Burgerluchtvaartorganisatie in verband met precisielandingen .,Internationale_Burgerluchtvaartorganisatie,Internationale Burgerluchtvaartorganisatie,1,0,0,1.0,1.0,1.0,Yes
27,Na de dood van Publius Cornelius Scipio Africanus maior trad hij op 50-jarige leeftijd in het huwelijk met diens dertig jaar jongere dochter Cornelia .,Publius_Cornelius_Scipio_Africanus_maior; Cornelia_Africana,Publius Cornelius Scipio Africanus maior; Cornelia,1,1,1,0.5,0.5,0.5,No
28,Hij kwam in aanraking met voetbal tijdens zijn studie aan de Duke University .,Duke_University,Duke University,1,0,0,1.0,1.0,1.0,Yes
29,Het grootste succes had de groep echter in het Verenigd Koninkrijk .,Verenigd_Koninkrijk,Verenigd Koninkrijk,1,0,0,1.0,1.0,1.0,Yes
30,werd in 1998 gebruikt als achtergrondmuziek voor een aantal spelletjes van Spel zonder Grenzen .,Spel_zonder_grenzen,Spel zonder Grenzen,1,0,0,1.0,1.0,1.0,Yes
31,"Het "" hub and spokes ""-concept is ontstaan in de Verenigde Staten , na de deregulering van het luchtverkeer in 1978 .",Verenigde_Staten,Verenigde Staten,1,0,0,1.0,1.0,1.0,Yes
32,"Dit record behield hij tot 22 augustus 2007 , toen Jaime Moreno zijn record verbrak .",Jaime_Moreno,Jaime Moreno,1,0,0,1.0,1.0,1.0,Yes
33,"Heden stelt men zich de vraag of "" Vlaanderen "" zich in de toekomst ook onafhankelijk zal verklaren , naar aanleiding van de federale rel tussen Vlaanderen en Wallonië .",Wallonië; Vlaanderen,Vlaanderen; Wallonië,2,0,0,1.0,1.0,1.0,Yes
34,Deze verklaring was een grote aanzet tot het huidige onafhankelijke Ierland .,Ierse_Republiek,Ierland,0,1,1,0.0,0.0,0.0,No
35,"Op het in 2007 uitgebrachte "" Minutes to Midnight "" verliet de band grotendeels de nu metal en ging richting de alternatieve rock , met nadruk op experimenteren met andere muziekstijlen lag .",The_Little_Things_Give_You_Away,,0,0,1,0.0,0.0,0.0,No
36,"Het in elektronische rock gedoopte "" A Thousand Suns "" kwam in september 2010 uit .",A_Thousand_Suns,,0,0,1,0.0,0.0,0.0,No
37,"Op 22 juni 2012 kwam het vijfde studioalbum "" Living Things "" uit dat de vorige albums samenvoegde met als doel een nieuw geluid te creëren .",Living_Things,,0,0,1,0.0,0.0,0.0,No
